ride_id,UTC,IMU A1,IMU A2,IMU A3,IMU G1,IMU G2,IMU G3,IMU M1,IMU M2,IMU M3,simple_label
15692,2018-11-09 19:33:43.353,-0.057422999999999995,9.091975,3.139124,-3.2926829268292686,0.9756097560975611,-0.12195121951219513,-28.0,-172.0,154.0,FLOATING
15692,2018-11-09 19:33:43.551,0.28711499999999995,8.881423999999999,2.718022,1.0975609756097562,6.951219512195123,3.048780487804878,-24.0,-178.0,154.0,FLOATING
15692,2018-11-09 19:33:43.749,0.210551,9.206821,1.8375359999999998,10.121951219512196,5.609756097560976,8.048780487804878,-29.0,-179.0,157.0,FLOATING
15692,2018-11-09 19:33:43.947,0.133987,10.087307,1.7226899999999998,12.073170731707318,0.6097560975609757,7.317073170731708,-47.0,-181.0,171.0,FLOATING
15692,2018-11-09 19:33:44.145,0.28711499999999995,10.068166,1.9141,7.926829268292684,-1.2195121951219514,2.439024390243903,-47.0,-173.0,181.0,FLOATING
15692,2018-11-09 19:33:44.343,0.5168069999999999,9.800192,1.8758179999999998,3.9024390243902443,-0.12195121951219513,-0.3658536585365854,-50.0,-174.0,180.0,FLOATING
15692,2018-11-09 19:33:44.541,0.593371,9.513077,1.7609719999999998,1.2195121951219514,5.121951219512195,-3.780487804878049,-39.0,-175.0,187.0,FLOATING
15692,2018-11-09 19:33:44.739,0.478525,9.111115999999999,1.186742,3.536585365853659,7.682926829268293,-4.2682926829268295,-41.0,-167.0,179.0,FLOATING
15692,2018-11-09 19:33:44.937,0.44024299999999994,9.264244,1.129319,1.0975609756097562,2.073170731707317,-1.2195121951219514,-38.0,-170.0,188.0,FLOATING
15692,2018-11-09 19:33:45.135,0.19140999999999997,9.781051,1.7801129999999998,-7.926829268292684,-2.439024390243903,0.6097560975609757,-31.0,-167.0,181.0,FLOATING
15692,2018-11-09 19:33:45.333,0.0,9.723628,2.373484,-12.682926829268293,1.5853658536585367,-1.829268292682927,-27.0,-175.0,169.0,FLOATING
15692,2018-11-09 19:33:45.564,0.057422999999999995,9.436513,2.2777789999999998,-4.024390243902439,8.78048780487805,-3.536585365853659,-32.0,-174.0,162.0,FLOATING
15692,2018-11-09 19:33:45.762,-0.038282,9.398231,2.1055099999999998,0.9756097560975611,7.682926829268293,-4.390243902439025,-35.0,-163.0,161.0,FLOATING
15692,2018-11-09 19:33:45.960,-0.09570499999999998,9.302525999999999,2.1246509999999996,-2.682926829268293,2.9268292682926833,-5.731707317073171,-30.0,-162.0,154.0,FLOATING
15692,2018-11-09 19:33:46.158,-0.09570499999999998,8.957987999999999,2.3352019999999998,-0.3658536585365854,1.4634146341463417,-5.609756097560976,-19.0,-175.0,159.0,FLOATING
15692,2018-11-09 19:33:46.356,-0.076564,8.824000999999999,2.086369,10.121951219512196,2.439024390243903,-1.5853658536585367,-12.0,-168.0,166.0,FLOATING
15692,2018-11-09 19:33:46.554,-0.306256,9.37909,2.0672279999999996,11.097560975609756,2.439024390243903,4.390243902439025,-15.0,-177.0,171.0,FLOATING
15692,2018-11-09 19:33:46.752,-0.325397,9.742769,2.0672279999999996,4.51219512195122,1.2195121951219514,7.439024390243903,-22.0,-164.0,174.0,FLOATING
15692,2018-11-09 19:33:46.950,-0.19140999999999997,9.838474,1.856677,0.12195121951219513,2.073170731707317,7.8048780487804885,-24.0,-172.0,182.0,FLOATING
15692,2018-11-09 19:33:47.148,-0.17226899999999998,9.685346,1.397293,5.609756097560976,4.390243902439025,7.073170731707318,-23.0,-171.0,183.0,FLOATING
15692,2018-11-09 19:33:47.379,0.038282,9.647063999999999,1.4355749999999998,3.1707317073170733,4.146341463414634,5.0,-37.0,-165.0,181.0,FLOATING
15692,2018-11-09 19:33:47.544,0.11484599999999999,9.627923,1.6652669999999998,-8.536585365853659,3.536585365853659,3.1707317073170733,-33.0,-165.0,187.0,FLOATING
15692,2018-11-09 19:33:47.775,0.057422999999999995,9.704486999999999,1.6652669999999998,-9.634146341463415,3.414634146341464,0.853658536585366,-42.0,-170.0,178.0,FLOATING
15692,2018-11-09 19:33:47.973,0.11484599999999999,9.781051,2.1820739999999996,-3.658536585365854,4.146341463414634,-1.707317073170732,-42.0,-172.0,164.0,FLOATING
15692,2018-11-09 19:33:48.171,0.325397,9.551359,2.737163,-7.073170731707318,5.121951219512195,-1.9512195121951221,-37.0,-177.0,161.0,FLOATING
15692,2018-11-09 19:33:48.369,0.363679,9.053692999999999,2.852009,-11.463414634146343,7.682926829268293,0.24390243902439027,-38.0,-174.0,164.0,FLOATING
15692,2018-11-09 19:33:48.567,0.22969199999999998,8.938846999999999,2.545753,-0.9756097560975611,8.78048780487805,4.146341463414634,-27.0,-177.0,149.0,FLOATING
15692,2018-11-09 19:33:48.765,-0.153128,9.417371999999999,2.373484,11.097560975609756,5.0,3.2926829268292686,-43.0,-179.0,157.0,FLOATING
15692,2018-11-09 19:33:48.963,-0.11484599999999999,9.781051,2.2777789999999998,8.170731707317074,-1.0975609756097562,-3.536585365853659,-48.0,-172.0,164.0,FLOATING
15692,2018-11-09 19:33:49.161,0.153128,9.398231,2.775445,-0.9756097560975611,-2.439024390243903,-9.146341463414634,-35.0,-171.0,169.0,FLOATING
15692,2018-11-09 19:33:49.359,0.210551,8.785718999999999,2.775445,-0.24390243902439027,3.1707317073170733,-6.097560975609756,-26.0,-172.0,162.0,FLOATING
15692,2018-11-09 19:33:49.590,0.076564,8.977129,2.2394969999999996,8.048780487804878,6.829268292682928,2.1951219512195124,-24.0,-174.0,166.0,FLOATING
15692,2018-11-09 19:33:49.788,-0.019141,9.493936,1.9523819999999998,7.317073170731708,6.463414634146342,7.560975609756098,-33.0,-173.0,177.0,FLOATING
15692,2018-11-09 19:33:49.986,-0.22969199999999998,9.800192,1.8183949999999998,4.146341463414634,3.414634146341464,8.414634146341465,-38.0,-170.0,182.0,FLOATING
15692,2018-11-09 19:33:50.184,-0.153128,9.857615,1.626985,0.9756097560975611,-0.48780487804878053,6.463414634146342,-49.0,-177.0,169.0,FLOATING
